record_key,player_key,season,audit_stratum,independent_source_type,missed_event_verdict,review_note,independent_source_found
AD44EAAA6DE8D,PBE2B477CC497,2022-23,no_reported_spell_start,,unresolved,"Screened: the club played no fixture between this appearance and the player's next, so no absence exists for the public record to have missed. No source search performed; unresolved per rule B7.",False
A4D0609DD6360,P951148E2CE8E,2024-25,no_reported_spell_start,independent_news,unresolved,"Screened: one club fixture missed (23 November 2024). The only public source found is dated 18 November, nine days after the appearance, and states the player was still to be assessed for whether he was injured at all. It fails rule B2 and does not tie any injury to the appearance date; the reported problem emerged during the international window. Unresolved.",True
A5CD273806048,P365257C3676B,2020-21,no_reported_spell_start,,unresolved,"Screened: the club played no fixture between this appearance and the player's next, so no absence exists for the public record to have missed. No source search performed; unresolved per rule B7.",False
A785F20FCAD33,PD5A1E0BB5909,2023-24,no_reported_spell_start,,unresolved,"Screened: the club played no fixture between this appearance and the player's next, so no absence exists for the public record to have missed. No source search performed; unresolved per rule B7.",False
A3D16F08FDAAE,P68BB73625459,2023-24,no_reported_spell_start,,unresolved,"Screened: the club played no fixture between this appearance and the player's next, so no absence exists for the public record to have missed. No source search performed; unresolved per rule B7.",False
A5D7B49190123,PB4DB8A551928,2017-18,no_reported_spell_start,,unresolved,"Screened: the club played no fixture between this appearance and the player's next, so no absence exists for the public record to have missed. No source search performed; unresolved per rule B7.",False
AFC01BC6F7260,P08A131BA288E,2022-23,no_reported_spell_start,,unresolved,"Screened: the club played no fixture between this appearance and the player's next, so no absence exists for the public record to have missed. No source search performed; unresolved per rule B7.",False
A81E065D4397F,P2E012A12A430,2024-25,no_reported_spell_start,,unresolved,"Screened: the club played no fixture between this appearance and the player's next, so no absence exists for the public record to have missed. No source search performed; unresolved per rule B7.",False
A39C2FAC734C3,P010DE936A3F1,2018-19,no_reported_spell_start,,unresolved,"Screened: the club played no fixture between this appearance and the player's next, so no absence exists for the public record to have missed. No source search performed; unresolved per rule B7.",False
A862E9B6F293F,P0B5538D4F021,2024-25,no_reported_spell_start,,unresolved,"Screened: the club played no fixture between this appearance and the player's next, so no absence exists for the public record to have missed. No source search performed; unresolved per rule B7.",False
A801459EEED4F,P20B7512F2305,2022-23,no_reported_spell_start,,unresolved,"Screened: the club played no fixture between this appearance and the player's next, so no absence exists for the public record to have missed. No source search performed; unresolved per rule B7.",False
ADAF7D769C089,P1DB8AD4E5DC1,2021-22,no_reported_spell_start,,unresolved,"Screened: the club played no fixture between this appearance and the player's next, so no absence exists for the public record to have missed. No source search performed; unresolved per rule B7.",False
AE725862E30AF,PD1AA6E2D22F1,2023-24,no_reported_spell_start,,unresolved,"Screened: the club played no fixture between this appearance and the player's next, so no absence exists for the public record to have missed. No source search performed; unresolved per rule B7.",False
AE9743F08B34C,P5AEFF97DC291,2022-23,no_reported_spell_start,,unresolved,"Screened: the club played no fixture between this appearance and the player's next, so no absence exists for the public record to have missed. No source search performed; unresolved per rule B7.",False
AF023F2B3EC36,PF91D0C1C2887,2023-24,no_reported_spell_start,,unresolved,"Screened: the club played no fixture between this appearance and the player's next, so no absence exists for the public record to have missed. No source search performed; unresolved per rule B7.",False
A60735EE8CF38,P6224A8BAD310,2023-24,no_reported_spell_start,,unresolved,"Screened: the club played no fixture between this appearance and the player's next, so no absence exists for the public record to have missed. No source search performed; unresolved per rule B7.",False
A482082EBCD84,P824FBC88154D,2023-24,no_reported_spell_start,,unresolved,"Screened: the club played no fixture between this appearance and the player's next, so no absence exists for the public record to have missed. No source search performed; unresolved per rule B7.",False
A51D46C91D98F,P35BB87D6EAB8,2022-23,no_reported_spell_start,,unresolved,"Screened: the club played no fixture between this appearance and the player's next, so no absence exists for the public record to have missed. No source search performed; unresolved per rule B7.",False
AD90830D0D97F,P4374A48B27FB,2021-22,no_reported_spell_start,,unresolved,"Screened: the club played no fixture between this appearance and the player's next, so no absence exists for the public record to have missed. No source search performed; unresolved per rule B7.",False
AC15A84A5CEFE,PE9B05677A094,2018-19,no_reported_spell_start,,unresolved,"Screened: one club fixture falls in the gap, but the player's next appearance is for a different club (Everton to Chelsea, 12 May to 11 August 2019), so the fixture was not one he could have played. Gap explained by season end and club change. Unresolved per rule B7.",False
A4B4DC5393196,P2B50D947C3F4,2020-21,no_reported_spell_start,,unresolved,"Screened: the club played no fixture between this appearance and the player's next, so no absence exists for the public record to have missed. No source search performed; unresolved per rule B7.",False
A615E7F0E043F,PD8AD4600F578,2019-20,no_reported_spell_start,,unresolved,"Screened: the club played no fixture between this appearance and the player's next, so no absence exists for the public record to have missed. No source search performed; unresolved per rule B7.",False
AA012FE1FB36F,P388BD00397F8,2019-20,no_reported_spell_start,,unresolved,"Screened: the club played no fixture between this appearance and the player's next, so no absence exists for the public record to have missed. No source search performed; unresolved per rule B7.",False
AEB58E1EEED2B,P60D9C3AB9435,2019-20,no_reported_spell_start,,unresolved,"Screened: the club played no fixture between this appearance and the player's next, so no absence exists for the public record to have missed. No source search performed; unresolved per rule B7.",False
A6CB03E5CEED9,PE7DAAA85E1E4,2019-20,no_reported_spell_start,,unresolved,"Screened: the club played no fixture between this appearance and the player's next, so no absence exists for the public record to have missed. No source search performed; unresolved per rule B7.",False
AFAB7DF6BF898,P94AD026E0147,2018-19,no_reported_spell_start,,unresolved,"Screened: the club played no fixture between this appearance and the player's next, so no absence exists for the public record to have missed. No source search performed; unresolved per rule B7.",False
A31DECA9F9521,P57D8943BF55B,2021-22,no_reported_spell_start,,unresolved,"Screened: the club played no fixture between this appearance and the player's next, so no absence exists for the public record to have missed. No source search performed; unresolved per rule B7.",False
AC036750D3C89,P4ED9AEE8DABB,2023-24,no_reported_spell_start,,unresolved,"Screened: the club played no fixture between this appearance and the player's next, so no absence exists for the public record to have missed. No source search performed; unresolved per rule B7.",False
AB2E10D024A99,P54E1B0D36673,2019-20,no_reported_spell_start,,unresolved,"Screened: the club played no fixture between this appearance and the player's next, so no absence exists for the public record to have missed. No source search performed; unresolved per rule B7.",False
AEF252BD979DD,P457E94B16CBD,2020-21,no_reported_spell_start,,unresolved,"Screened: the club played no fixture between this appearance and the player's next, so no absence exists for the public record to have missed. No source search performed; unresolved per rule B7.",False
